wastewater_treatment_plant.name,collection_date,target,loq,lod,gc_per_lww
ARA Werdhoelzli,2023-07-10,IAV-M,32880,6000,-0
ARA Werdhoelzli,2023-07-10,IAV-M,32880,6000,-0
ARA Werdhoelzli,2023-07-10,IBV-M,32880,6000,-0
ARA Werdhoelzli,2023-07-10,IBV-M,32880,6000,6977.8647
ARA Werdhoelzli,2023-07-10,RSV-N,32880,6000,-0
ARA Werdhoelzli,2023-07-10,RSV-N,32880,6000,-0
ARA Werdhoelzli,2023-07-10,SARS-N1,32880,6000,80402.26
ARA Werdhoelzli,2023-07-10,SARS-N1,32880,6000,67488.01
ARA Werdhoelzli,2023-07-10,SARS-N2,32880,6000,135599.94
ARA Werdhoelzli,2023-07-10,SARS-N2,32880,6000,72145.26
ARA Zuchwil,2023-07-10,IAV-M,32880,6000,-0
ARA Zuchwil,2023-07-10,IAV-M,32880,6000,-0
ARA Zuchwil,2023-07-10,IBV-M,32880,6000,-0
ARA Zuchwil,2023-07-10,IBV-M,32880,6000,-0
ARA Zuchwil,2023-07-10,RSV-N,32880,6000,-0
ARA Zuchwil,2023-07-10,RSV-N,32880,6000,-0
ARA Zuchwil,2023-07-10,SARS-N1,32880,6000,7331.899
ARA Zuchwil,2023-07-10,SARS-N1,32880,6000,12392.876
ARA Zuchwil,2023-07-10,SARS-N2,32880,6000,12392.876
ARA Zuchwil,2023-07-10,SARS-N2,32880,6000,4887.829
ARA Chur,2023-07-10,IAV-M,32880,6000,-0
ARA Chur,2023-07-10,IAV-M,32880,6000,-0
ARA Chur,2023-07-10,IBV-M,32880,6000,-0
ARA Chur,2023-07-10,IBV-M,32880,6000,2214.9893
ARA Chur,2023-07-10,RSV-N,32880,6000,-0
ARA Chur,2023-07-10,RSV-N,32880,6000,-0
ARA Chur,2023-07-10,SARS-N1,32880,6000,8860.467
ARA Chur,2023-07-10,SARS-N1,32880,6000,7005.4907
ARA Chur,2023-07-10,SARS-N2,32880,6000,13291.209
ARA Chur,2023-07-10,SARS-N2,32880,6000,9340.843
STEP Vidy,2023-07-10,IAV-M,32880,6000,-0
STEP Vidy,2023-07-10,IBV-M,32880,6000,-0
STEP Vidy,2023-07-10,RSV-N,32880,6000,-0
STEP Vidy,2023-07-10,SARS-N1,32880,6000,30460.285
STEP Vidy,2023-07-10,SARS-N2,32880,6000,35538.562
STEP Neuchatel,2023-07-10,IAV-M,32880,6000,2349.9734
STEP Neuchatel,2023-07-10,IAV-M,32880,6000,-0
STEP Neuchatel,2023-07-10,IBV-M,32880,6000,2178.8374
STEP Neuchatel,2023-07-10,IBV-M,32880,6000,2349.9734
STEP Neuchatel,2023-07-10,RSV-N,32880,6000,-0
STEP Neuchatel,2023-07-10,RSV-N,32880,6000,-0
STEP Neuchatel,2023-07-10,SARS-N1,32880,6000,35259.637
STEP Neuchatel,2023-07-10,SARS-N1,32880,6000,47953.406
STEP Neuchatel,2023-07-10,SARS-N2,32880,6000,68188.05
STEP Neuchatel,2023-07-10,SARS-N2,32880,6000,71945.04
ARA Sensetal,2023-07-11,IAV-M,32880,6000,-0
ARA Sensetal,2023-07-11,IAV-M,32880,6000,-0
ARA Sensetal,2023-07-11,IBV-M,32880,6000,2804.02
ARA Sensetal,2023-07-11,IBV-M,32880,6000,-0
ARA Sensetal,2023-07-11,RSV-N,32880,6000,2604.405
ARA Sensetal,2023-07-11,RSV-N,32880,6000,2804.02
ARA Sensetal,2023-07-11,SARS-N1,32880,6000,2604.405
ARA Sensetal,2023-07-11,SARS-N1,32880,6000,2804.02
ARA Sensetal,2023-07-11,SARS-N2,32880,6000,-0
ARA Sensetal,2023-07-11,SARS-N2,32880,6000,10418.325
ARA Buholz,2023-07-11,IAV-M,32880,6000,-0
ARA Buholz,2023-07-11,IAV-M,32880,6000,-0
ARA Buholz,2023-07-11,IBV-M,32880,6000,-0
ARA Buholz,2023-07-11,IBV-M,32880,6000,-0
ARA Buholz,2023-07-11,RSV-N,32880,6000,-0
ARA Buholz,2023-07-11,RSV-N,32880,6000,-0
ARA Buholz,2023-07-11,SARS-N1,32880,6000,40423.777
ARA Buholz,2023-07-11,SARS-N1,32880,6000,40953.617
ARA Buholz,2023-07-11,SARS-N2,32880,6000,55589.98
ARA Buholz,2023-07-11,SARS-N2,32880,6000,71687.88
ARA Basel/Prorheno,2023-07-11,IAV-M,32880,6000,-0
ARA Basel/Prorheno,2023-07-11,IAV-M,32880,6000,-0
ARA Basel/Prorheno,2023-07-11,IBV-M,32880,6000,-0
ARA Basel/Prorheno,2023-07-11,IBV-M,32880,6000,-0
ARA Basel/Prorheno,2023-07-11,RSV-N,32880,6000,-0
ARA Basel/Prorheno,2023-07-11,RSV-N,32880,6000,-0
ARA Basel/Prorheno,2023-07-11,SARS-N1,32880,6000,15645.11
ARA Basel/Prorheno,2023-07-11,SARS-N1,32880,6000,20725.518
ARA Basel/Prorheno,2023-07-11,SARS-N2,32880,6000,18134.422
ARA Basel/Prorheno,2023-07-11,SARS-N2,32880,6000,36511.848
